masterid,stationcode,latitude,longitude
113GAR011,113GAR011,38.89138,-123.45586
113GAR015,113GAR015,38.89312,-123.50885
113GAR021,113GAR021,38.90958,-123.41031
113GAR023,113GAR023,38.90736,-123.48229
113GAR030,113GAR030,38.8702,-123.56669
113GAR038,113GAR038,38.83908,-123.53457
113GAR042,113GAR042,38.874568,-123.524799
113GAR045,113GAR045,38.9443,-123.709
113GAR046,113GAR046,38.85578,-123.56359
113GAR061,113GAR061,38.88397,-123.59201
113GAR062,113GAR062,38.859610000000004,-123.54843
113GAR084,113GAR084,38.92636,-123.62885
113GAR085,113GAR085,38.90739,-123.40151
113GAR087,113GAR087,38.90814,-123.48965
113GAR089,113GAR089,38.90824,-123.35092
113GAR094,113GAR094,38.86295,-123.56825
113GAR105,113GAR105,38.89959,-123.39061
113GAR109,113GAR109,38.94328,-123.71913
113GAR110,113GAR110,38.8553,-123.56022
113GAR112,113GAR112,38.92488,-123.49069
113GAR118,113GAR118,38.84264,-123.54917
113GAR178,113GAR178,38.87489,-123.49376
113GAR217,113GAR217,38.92393,-123.33533
113GAR244,113GAR244,38.93172,-123.59238
113GAR245,113GAR245,38.89878,-123.35432
113HSCABC,113HSCABC,38.65398322,-123.1742861
113INCANR,113INCANR,39.06093,-123.43896
113LRVDSP,113LRVDSP,39.27694,-123.77933
113MLCTMR,113MLCTMR,39.54722,-123.72528
113NC0028,113NC0028,38.99589015,-123.662946
113NC0204,113NC0204,38.8719,-123.57
113NC0388,113NC0388,39.60209053,-123.7321461
113NC0396,113NC0396,38.85779,-123.56081
113NRR1xx,113NRR1xx,39.42782,-123.74007
113NRR2xx,113NRR2xx,39.42787,-123.7407
113NRR3xx,113NRR3xx,39.42807,-123.74115
113NRSFBG,113NRSFBG,39.38194,-123.67167
113NVRBIC,113NVRBIC,39.05695,-123.45266
113PCLR1x,113PCLR1x,39.44854,-123.73616
113PCLR2x,113PCLR2x,39.44898,-123.73616
113PCLR3x,113PCLR3x,39.44947,-123.73616
113PCUR1x,113PCUR1x,39.46932,-123.72361
113PCUR2x,113PCUR2x,39.46971,-123.72317
113PCUR3x,113PCUR3x,39.4701,-123.72273
113PS0012,113PS0012,39.257,-123.50959
113PS0076,113PS0076,38.9363,-123.5005
113PS0084,113PS0084,39.40611,-123.71263
113PS0100,113PS0100,39.31779,-123.62643
113PS0120,113PS0120,39.15087,-123.6358
113PS0132,113PS0132,39.55671,-123.7235
113PS0168,113PS0168,38.75349,-123.40511
113PS0196,113PS0196,39.5439,-123.6553
113PS0216,113PS0216,38.51536,-123.24221
113PS0232,113PS0232,38.66785,-123.30996
113PS0268,113PS0268,39.15598,-123.4593
113PS0292,113PS0292,39.33367877,-123.5615025
113PS0296,113PS0296,38.63143583,-123.208005
113PS0356,113PS0356,39.32186053,-123.6335245
113RCCBBC,113RCCBBC,38.91391,-123.26415
113RG8046,113RG8046,38.47575,-123.15189
113WE0590,113WE0590,39.18657,-123.5481
113WE0619,113WE0619,39.40743,-123.7407
113WER082,113WER082,39.39417,-123.68472
113WER086,113WER086,39.23667,-123.39222
113WER088,113WER088,39.07556,-123.46361
114ACR1xx,114ACR1xx,38.60556,-122.97917
114AU7778,114AU7778,38.58703,-123.11811
114BCR1xx,114BCR1xx,38.6783,-122.7272
114BCR2xx,114BCR2xx,38.6817,-122.6899
114BJCR1x,114BJCR1x,38.53506,-123.13433
114BPCR1x,114BPCR1x,38.57897,-123.11828
114BPCR2x,114BPCR2x,38.58103,-123.13
114BRCR1x,114BRCR1x,38.69458,-122.73336
114BRCR3x,114BRCR3x,38.69817,-122.72928
114BSCAGS,114BSCAGS,38.82595,-122.99664
114BSCLRx,114BSCLRx,38.82408,-122.98706
114BSCMRx,114BSCMRx,38.82464,-122.87825
114BSCURx,114BSCURx,38.78567,-122.77731
114CCR1xx,114CCR1xx,38.67894,-122.71206
114CCR2xx,114CCR2xx,38.68261,-122.70678
114CE0059,114CE0059,39.2825,-123.29194
