masterid,sampledate,XSLOPE,PCT_FN,PCT_HP
408M03047,2017-05-30T07:00:00Z,0.1,0,0
408M03051,2019-06-17T07:00:00Z,0.4,0,0
408M03052,2013-06-10T07:00:00Z,0.1,48,0
408M03052,2017-05-30T07:00:00Z,0.2,15,0
408M03100,2019-05-09T07:00:00Z,0.4,69,0
408M03111,2019-07-25T07:00:00Z,0,8,0
408M03115,2018-06-19T07:00:00Z,0.2,3,0
408M03116,2018-08-21T07:00:00Z,0.1,0,0
408M03119,2018-06-28T07:00:00Z,NA,0,0
408PS0032,2008-05-21T07:00:00Z,0.2,24,0
410M01628,2018-06-28T07:00:00Z,0.1,0,0
412CE0232,2015-07-16T07:00:00Z,0.3,0,0
412CE0232,2016-06-21T07:00:00Z,NA,0,0
412CE0232,2017-05-31T07:00:00Z,NA,0,0
412CE0232,2018-05-30T07:00:00Z,0.2,0,0
412CE0232,2019-07-15T07:00:00Z,0.3,5,0
412CE0616,2015-07-16T07:00:00Z,0.3,0,0
412CE0732,2015-09-02T07:00:00Z,0.4,0,0
412M08597,2015-07-16T07:00:00Z,0.3,0,0
412M08599,2018-06-20T07:00:00Z,0.6,0,0
412M08602,2015-09-30T07:00:00Z,0.2,0,0
412M08608,2016-06-02T07:00:00Z,1.6,12,0
412M08610,2016-07-14T07:00:00Z,4.2,27,0
412M08615,2016-07-07T07:00:00Z,0.4,0,0
412M08616,2016-06-02T07:00:00Z,0.6,0,0
412M08622,2016-06-21T07:00:00Z,6.7,3,0
412M08627,2017-05-17T07:00:00Z,0.2,0,0
412M08630,2017-05-17T07:00:00Z,0.5,0,0
412M08632,2017-05-17T07:00:00Z,0.4,0,0
412M08638,2017-08-16T07:00:00Z,1.9,0,0
412M08640,2018-05-30T07:00:00Z,0.8,0,0
412M08641,2019-07-09T07:00:00Z,2.7,6,0
412M08642,2018-06-20T07:00:00Z,0.5,0,0
412M08643,2018-05-23T07:00:00Z,0.1,2,0
412M08645,2019-07-15T07:00:00Z,2.4,62,0
412M08646,2019-07-16T07:00:00Z,1.5,0,0
412M08647,2019-07-16T07:00:00Z,0.6,9,0
412PS0020,2008-05-14T07:00:00Z,0.8,1,0
412PS0020,2008-05-22T07:00:00Z,0.8,0,0
412PS0020,2016-06-02T07:00:00Z,0.9,0,0
412PS0040,2008-05-20T07:00:00Z,0.9,0,0
412PS0040,2016-07-14T07:00:00Z,0.2,0,0
412PS0052,2008-05-20T07:00:00Z,0.5,13,0
412PS0052,2017-04-25T07:00:00Z,0.4,0,0
412S04204,2012-07-11T07:00:00Z,2.4,3,0
412S04204,2019-07-30T07:00:00Z,3.3,9,0
412WE0552,2015-08-26T07:00:00Z,2.2,0,0
412WE0552,2016-06-08T07:00:00Z,NA,5,0
412WE0552,2017-05-24T07:00:00Z,2.7,0,0
412WE0552,2018-08-02T07:00:00Z,2.1,0,0
412WE0552,2019-07-23T07:00:00Z,2.8,0,0
412WE0896,2015-09-02T07:00:00Z,1.6,2,0
504PS0019,2008-06-30T07:00:00Z,0.4,2,28
504PS0051,2008-07-01T07:00:00Z,2.1,21,0
504PS0083,2009-06-17T07:00:00Z,0.3,2,47
504PS0147,2008-06-23T07:00:00Z,0.1,0,0
504PS0227,2009-08-12T07:00:00Z,0.9,9,0
504PS0238,2009-07-29T07:00:00Z,0.3,1,0
504PS0243,2009-06-09T07:00:00Z,1.3,13,0
505PS0156,2008-08-13T07:00:00Z,1.8,0,0
506PS0003,2008-07-02T07:00:00Z,3.7,1,0
506PS0003,2008-07-29T07:00:00Z,2.3,0,0
506PS0003,2009-07-28T07:00:00Z,3,0,0
506PS0062,2008-09-15T07:00:00Z,4.7,0,1
507BCSFBM,2008-08-05T07:00:00Z,0.7,10,0
507PS0122,2009-06-29T07:00:00Z,1.6,12,0
508PS0042,2008-07-02T07:00:00Z,0.3,11,18
509ACNFPP,2008-07-30T07:00:00Z,3.1,0,0
509ACNFPP,2008-09-16T07:00:00Z,2.8,2,9
509ACSFPP,2008-07-16T07:00:00Z,2.8,1,2
509ATCINC,2008-07-14T07:00:00Z,1.6,0,6
509BCCBPW,2009-05-21T07:00:00Z,NA,2,0
509BCCBPW,2009-06-10T07:00:00Z,NA,10,0
509BCCBPW,2009-07-09T07:00:00Z,0,3,0
509BCCBPW,2009-08-10T07:00:00Z,NA,3,1
509BCCBPW,2009-09-10T07:00:00Z,NA,6,0
509BCCH32,2008-08-13T07:00:00Z,2.6,1,0
509CWCPLR,2008-07-07T07:00:00Z,3.7,0,0
509DCPWxx,2008-08-21T07:00:00Z,2.1,2,0
509ICPPCX,2008-07-30T07:00:00Z,4.3,0,0
509ICPPCX,2008-09-10T07:00:00Z,4.5,1,0
509PCDTWR,2008-07-15T07:00:00Z,2.8,1,3
509PCDTWR,2008-09-03T07:00:00Z,2,1,0
511CCC505,2008-06-25T07:00:00Z,0.2,10,11
511PS0081,2008-06-25T07:00:00Z,0,99,1
511PS0145,2008-06-24T07:00:00Z,0,37,20
511PS0209,2009-07-08T07:00:00Z,0,25,60
513BTCACC,2008-09-10T07:00:00Z,2.6,0,0
513PS0008,2008-06-25T07:00:00Z,1.8,0,0
513PS0008,2008-08-07T07:00:00Z,1,0,0
513PS0008,2009-06-11T07:00:00Z,3.9,1,0
513PS0024,2008-06-25T07:00:00Z,2.8,1,0
513PS0088,2009-08-17T07:00:00Z,1.8,7,0
513UNCAKC,2008-09-10T07:00:00Z,3.4,0,0
513UNCAKC,2009-05-20T07:00:00Z,NA,1,1
513UNCAKC,2009-06-04T07:00:00Z,NA,56,0
513UNCAKC,2009-07-13T07:00:00Z,2.3,33,0
513UNCAKC,2009-08-13T07:00:00Z,NA,24,0
513UNCAKC,2009-09-23T07:00:00Z,NA,15,0
514BRUUPX,2008-10-09T07:00:00Z,15.8,0,0
514PS0019,2008-08-13T07:00:00Z,0.1,1,0
514PS0084,2008-07-08T07:00:00Z,0.8,12,0
514SCCAAR,2008-07-24T07:00:00Z,7.1,1,0
515PS0106,2008-09-24T07:00:00Z,0.1,30,43
